"범죄별(1)",범죄별(2),범죄별(3),2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
"범죄별(1)",범죄별(2),범죄별(3),합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,합계,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,동종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범,이종재범
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과,소계,1개월 이내,3개월 이내,6개월 이내,1년 이내,2년 이내,3년 이내,3년 초과
"합계",소계,소계,27.7,25.0,47.0,37.8,29.8,23.7,5.2,15.3,14.0,30.5,68.3,42.3,40.5,32.0,21.1,19.2,14.5,38.7,30.6,45.2,32.1,36.3,31.9,28.2,4.4,0.0,46.5,52.3,57.0,48.9,52.2,50.7,28.9,18.6,3.2,7.6,33.0,24.4,13.8,1.8,-9.4,-9.0,-51.9,-0.5,20.3,13.5,8.1,2.1,-6.9,-12.0,-37.8,-14.6,-11.2,-22.5,17.9,-4.3,-21.8,-9.2,-20.4,-2.7,-17.8,-27.5,5.4,-4.4,-26.8,-17.6,-17.9,-19.7,-3.0,-4.6,25.4,-5.4,-10.1,-9.2,-16.3,-11.7,-28.4,-1.3,30.7,-3.5,-0.8,-4.8,-2.4,-9.1,-7.9,46.5,35.6,42.9,35.0,37.5,31.0,23.5,44.4,116.8,57.0,61.5,49.0,48.0,51.2,34.9,52.6,240.3
"형법범",소계,소계,22.0,18.0,41.1,26.2,29.8,13.8,1.6,7.6,8.3,26.7,69.0,41.9,38.3,27.2,13.7,15.6,1.0,37.9,29.7,44.5,32.6,33.7,30.4,25.9,1.9,2.7,46.6,44.8,55.8,47.2,52.0,52.7,29.1,17.0,14.1,18.6,45.9,40.2,19.6,11.8,-1.3,4.3,-46.5,9.9,24.7,18.6,15.6,11.2,6.1,2.4,-28.2,-11.4,-5.1,-18.2,26.7,5.9,-16.7,-3.0,-20.0,-9.7,-17.9,-23.9,8.0,-3.6,-28.5,-16.8,-21.0,-22.3,-1.6,-3.5,28.7,-4.8,-12.4,-8.7,-14.6,-6.7,-23.8,0.6,28.6,-1.9,0.7,-3.2,-2.3,-3.2,-3.7,50.0,41.2,46.0,39.7,47.6,36.9,25.9,55.5,126.3,59.7,63.3,50.6,53.1,53.5,40.0,54.6,273.2
"형법범",재산범죄,소계,16.7,15.8,39.5,20.8,21.5,10.6,5.1,10.4,2.3,18.4,68.7,39.8,28.1,16.0,1.2,8.6,-13.8,29.0,24.9,35.6,27.6,34.2,25.3,15.6,-3.0,-1.5,36.0,44.0,39.0,35.7,39.4,39.2,9.8,24.2,25.4,27.9,50.3,56.1,23.8,19.3,8.7,13.7,-31.6,21.4,18.6,21.1,17.5,24.9,23.2,29.1,-5.8,-5.5,0.3,-6.8,28.7,12.3,-12.8,-1.2,-15.3,-9.9,-15.1,-18.6,16.2,-4.6,-26.2,-12.6,-21.9,-26.0,-1.9,-1.8,25.8,-3.0,-9.1,-7.5,-9.0,-13.0,-25.6,-2.2,28.3,-4.1,1.6,-4.6,-15.9,-5.7,-3.6,44.9,34.9,42.2,38.7,37.0,26.2,20.5,56.8,114.8,64.4,62.5,60.4,67.7,49.8,38.9,54.8,353.7
"형법범",재산범죄,절도,20.6,18.7,49.8,26.5,19.9,12.1,7.5,14.9,9.6,24.7,85.1,39.7,32.0,20.6,-1.7,12.8,12.5,27.1,24.4,32.9,24.1,36.5,26.5,14.4,-3.3,-7.2,32.5,46.0,37.1,28.1,34.0,36.3,2.3,19.8,26.0,28.7,49.0,56.2,24.1,21.1,10.4,13.1,-26.7,20.6,8.7,16.5,20.4,24.6,20.6,55.6,-9.9,-7.1,-2.3,-11.0,25.0,12.3,-15.5,-2.6,-16.9,-11.8,-17.2,-18.4,9.2,-6.9,-29.2,-9.6,-31.1,-25.0,-1.7,-1.4,29.0,-1.9,-12.1,-6.6,-7.4,-12.3,-28.0,-2.6,27.2,-1.7,-1.7,-7.5,-16.5,2.6,-5.9,38.4,31.1,38.8,32.7,40.7,20.6,16.8,56.4,98.1,56.9,51.9,50.8,60.8,43.8,22.2,40.4,450.0
"형법범",재산범죄,장물,32.5,20.0,150.0,-,,60.0,133.3,-50.0,-66.7,36.7,400.0,-25.0,-50.0,117.6,42.9,-22.2,66.7,97.2,237.5,80.0,,350.0,275.0,142.9,300.0,200.0,56.1,10.0,183.3,57.1,45.9,150.0,-42.9,20.0,51.7,22.2,33.3,66.7,77.8,33.3,-70.6,100.0,0.0,70.3,109.1,29.4,136.4,68.5,36.0,275.0,16.7,0.6,3.0,16.7,26.7,-12.5,-15.0,180.0,-62.5,33.3,-0.5,4.3,90.9,15.4,-22.0,-26.5,40.0,-42.9,-39.2,-53.9,-57.1,-26.3,-78.6,-50.0,-71.4,-33.3,-75.0,-32.3,-37.5,-26.2,-20.0,-28.2,-28.0,-71.4,-50.0,257.2,317.0,883.3,257.1,766.7,135.3,250.0,50.0,300.0,238.1,326.7,219.4,195.8,205.9,238.9,350.0,850.0
"형법범",재산범죄,사기,-8.6,-10.4,-26.4,-22.4,39.2,-4.9,-31.9,-21.9,-36.4,-7.1,-6.3,29.4,14.0,-12.3,11.9,-2.1,-46.0,23.7,11.6,67.2,48.9,0.0,-6.5,12.5,-16.0,28.6,33.1,4.4,43.2,49.0,47.8,23.0,28.7,2.1,27.1,22.9,68.2,77.6,-2.8,2.5,-5.6,-14.3,-66.7,29.7,112.8,50.8,9.6,32.7,37.4,-16.5,27.1,10.2,39.0,26.7,83.2,40.6,30.2,-2.9,55.6,-33.3,-7.3,-21.0,56.8,5.0,-11.3,-26.2,3.0,-31.1,2.7,3.6,14.0,-8.7,45.4,-9.4,-3.0,-14.3,200.0,2.0,57.0,-16.8,19.0,0.6,-2.8,-20.2,14.3,56.0,56.3,40.8,81.4,-7.8,84.7,68.8,66.7,150.0,55.6,33.9,78.2,81.0,40.1,32.8,77.1,145.8
"형법범",재산범죄,횡령,-2.7,-19.4,100.0,-60.0,-14.3,-8.3,-80.0,25.0,-,2.7,16.7,50.0,40.0,7.3,-13.0,-33.3,-28.6,100.7,96.6,0.0,400.0,33.3,109.1,400.0,-20.0,,101.7,157.1,33.3,107.1,125.0,50.0,130.0,160.0,23.9,22.8,0.0,-10.0,125.0,13.0,40.0,50.0,-,24.1,11.1,40.0,10.3,1.0,80.0,65.2,23.1,-17.0,-5.7,50.0,11.1,-38.9,-23.1,114.3,-50.0,,-19.8,-75.0,10.7,-28.1,-24.0,13.0,-36.8,-31.3,-5.1,-42.4,-83.3,-70.0,-18.2,-20.0,-60.0,0.0,-,5.6,180.0,38.7,47.8,18.4,-50.8,-4.2,-9.1,83.0,92.1,1200.0,400.0,-11.1,25.0,33.3,33.3,,81.6,307.1,27.9,58.8,48.9,116.7,34.8,370.0
